,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
KARET,143746.0,117513.0,117897.0,105180.0,126882.0,125070.0,137341.0,129209.0,122071.0,136323.0,124160.0,122148.0,125628.33333333333,143746.0,4187.611111111111,628.1416666666667
DUKUH ATAS,58860.0,54198.0,53940.0,48352.0,61165.0,60028.0,65028.0,65785.0,64538.0,68786.0,63857.0,65546.0,60840.25,68786.0,2028.0083333333334,304.20125
TELUK BETUNG,97031.0,86132.0,87383.0,77891.0,97654.0,93197.0,97013.0,93098.0,92578.0,96667.0,92530.0,99564.0,92561.5,99564.0,3085.383333333333,462.80749999999995
BUNDARAN HI ASTRA,167559.0,158909.0,155397.0,165344.0,185671.0,206707.0,204061.0,187585.0,183404.0,182888.0,183661.0,226035.0,183935.08333333334,226035.0,6131.169444444445,919.6754166666667
KEBON SIRIH ARAH BLOK M,29284.0,26358.0,26291.0,24573.0,27470.0,32072.0,34145.0,33321.0,41613.0,42581.0,23418.0,27819.0,30745.416666666668,42581.0,1024.8472222222222,153.72708333333333
KEBON SIRIH ARAH KOTA,13448.0,9535.0,10109.0,7509.0,10712.0,10369.0,12185.0,12204.0,11933.0,15032.0,13251.0,13401.0,11640.666666666666,15032.0,388.0222222222222,58.203333333333326
MONUMEN NASIONAL,84582.0,58067.0,57572.0,58269.0,69638.0,82697.0,84082.0,83731.0,83333.0,105893.0,96660.0,122658.0,82265.16666666667,122658.0,2742.1722222222224,411.3258333333334
TAMAN SARI,45900.0,41732.0,43004.0,37702.0,45564.0,45461.0,51724.0,51404.0,48843.0,53043.0,50057.0,50582.0,47084.666666666664,53043.0,1569.4888888888888,235.42333333333332
GLODOK,82814.0,74103.0,72273.0,65217.0,79750.0,78867.0,84556.0,83054.0,80227.0,83203.0,79975.0,83181.0,78935.0,84556.0,2631.1666666666665,394.67499999999995
KOTA,101708.0,91751.0,82850.0,94849.0,101497.0,109361.0,108673.0,100219.0,99581.0,102377.0,95374.0,115380.0,100301.66666666667,115380.0,3343.388888888889,501.5083333333333
KEJAKSAAN AGUNG,26576.0,25431.0,23888.0,25581.0,32329.0,32675.0,43204.0,44858.0,48304.0,54667.0,53870.0,65384.0,39730.583333333336,65384.0,1324.3527777777779,198.65291666666667
ASEAN,32458.0,30670.0,30835.0,28088.0,35416.0,33849.0,37921.0,37930.0,37033.0,39098.0,35406.0,41107.0,34984.25,41107.0,1166.1416666666667,174.92125
MH THAMRIN,106762.0,99639.0,99191.0,97294.0,114332.0,121558.0,119968.0,123229.0,113782.0,124509.0,115882.0,121204.0,113112.5,124509.0,3770.4166666666665,565.5625
HARMONI ARAH BLOK M,78305.0,68722.0,70513.0,59760.0,72546.0,73553.0,83076.0,80995.0,76518.0,88493.0,79635.0,79980.0,76008.0,88493.0,2533.6,380.03999999999996
SAWAH BESAR ARAH KOTA,,,,,,,,,,,,191.0,191.0,191.0,6.366666666666666,0.9549999999999998
SAWAH BESAR ARAH BLOK M,31650.0,28936.0,30653.0,26239.0,30894.0,30330.0,32703.0,32800.0,31688.0,34270.0,32518.0,33591.0,31356.0,34270.0,1045.2,156.78
MANGGA BESAR ARAH KOTA,46364.0,42141.0,42967.0,38274.0,45675.0,45542.0,49933.0,50675.0,47651.0,52400.0,47969.0,48668.0,46521.583333333336,52400.0,1550.7194444444444,232.60791666666665
